Pontos,FGM,FGA,Aproveitamento_Campo,Aproveitamento_3P,Aproveitamento_LT,Reb_Ofensivo,Reb_Defensivo,Assistências,Turnovers,Roubos,Bloqueios,Altura,Peso,Posicao,prediction_label,prediction_score,Acertou,Acertou_Texto
19.3,6.9,16.9,40.7,29.4,82.6,1.2,3.8,4.0,2.9,2.5,0.6,1.8796,90.7184,SG,SG,0.5664,True,Sim
20.3,7.1,16.3,43.9,39.2,82.0,0.6,5.6,4.2,2.0,2.0,0.5,2.032,104.32616,PF,SF,0.6376,False,Não
24.6,8.4,20.4,41.0,23.5,89.7,0.5,3.6,10.2,4.5,1.3,0.4,1.8796,78.92501,PG,PG,0.9983,True,Sim
14.4,5.3,13.9,38.0,31.8,78.7,0.4,2.5,6.2,3.7,1.3,0.7,1.905,83.91452,PG,PG,0.8767,True,Sim
10.0,3.8,6.4,59.5,33.3,70.8,3.7,5.2,0.9,1.6,0.9,2.4,2.0828,106.59412,C,C,0.9198,True,Sim
22.5,7.0,15.5,45.3,38.9,81.4,1.2,3.0,2.6,2.5,0.9,0.8,2.0066,96.6151,PF,SF,0.5471,False,Não
16.7,5.9,13.2,44.3,40.2,77.8,1.1,7.0,3.0,1.1,0.4,0.0,1.9558,97.52228,SF,SF,0.547,True,Sim
17.0,6.1,13.7,44.5,37.3,80.9,1.3,3.6,3.7,2.2,1.2,0.8,1.905,88.45044,SG,SG,0.7479,True,Sim
28.0,9.6,20.1,47.7,35.5,89.6,2.1,5.1,2.2,1.6,1.0,0.5,2.159,108.86208,SF,PF,0.5627,False,Não
16.2,5.8,13.0,44.9,36.3,77.5,1.4,5.6,1.9,1.4,0.7,0.9,2.1082,99.79024,PF,PF,0.6502,True,Sim
10.6,5.3,15.8,33.3,0.0,0.0,0.0,21.1,10.6,0.0,0.0,0.0,1.9812,93.89355,SG,C,0.4713,False,Não
15.4,6.8,9.7,70.0,0.0,60.2,3.6,6.5,2.9,1.8,1.3,1.0,2.1336,114.75877,C,C,0.95,True,Sim
14.1,5.5,13.0,42.2,34.1,71.1,0.9,4.9,4.5,2.5,0.8,0.6,2.0574,83.91452,PF,SG,0.4731,False,Não
11.2,4.5,8.5,53.0,36.4,70.6,1.8,4.6,5.3,1.6,1.9,1.1,2.032,104.32616,PF,PF,0.6232,True,Sim
16.8,6.0,13.6,43.9,31.6,80.0,1.2,3.4,3.2,2.1,1.2,0.2,2.0574,81.64656,SF,SG,0.586,False,Não
19.4,7.3,16.3,44.8,31.3,78.3,1.4,2.4,8.0,4.6,3.2,0.7,1.8796,77.11064,PG,PG,0.989,True,Sim
17.6,6.5,13.5,48.0,37.6,75.7,2.2,6.6,3.6,2.0,1.3,1.2,2.0828,108.86208,C,PF,0.5831,False,Não
